provider,model_id,modalities,best_at,free_quota,rate_limits,base_url,endpoint,api_style,authentication,catalog_url,quota_source_url,verified_on,notes
Google Gemini API,gemini-3.1-flash-lite,text/image/video/audio to text,High-volume agents; translation; data processing,Free input and output tokens within account quota,Account-specific RPM/TPM/RPD shown in AI Studio,https://generativelanguage.googleapis.com,/v1beta/models/gemini-3.1-flash-lite:generateContent,Google REST,x-goog-api-key,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/pricing,2026-06-27,Recurring free tier
Google Gemini API,gemini-3-flash-preview,text/image/video/audio to text,Fast frontier reasoning; multimodal work; grounding,Free input and output tokens within account quota,Account-specific RPM/TPM/RPD shown in AI Studio,https://generativelanguage.googleapis.com,/v1beta/models/gemini-3-flash-preview:generateContent,Google REST,x-goog-api-key,https://ai.google.dev/gemini-api/docs/gemini-3,https://ai.google.dev/gemini-api/docs/pricing,2026-06-27,Preview model
Google Gemini API,gemini-2.5-pro,text/image/video/audio to text,Complex reasoning; coding; long-context analysis,Free input and output tokens within account quota,Account-specific RPM/TPM/RPD shown in AI Studio,https://generativelanguage.googleapis.com,/v1beta/models/gemini-2.5-pro:generateContent,Google REST,x-goog-api-key,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/pricing,2026-06-27,Standard calls free; batch paid
Google Gemini API,gemini-2.5-flash,text/image/video/audio to text,Balanced reasoning; extraction; general agents,Free tokens; Search grounding up to 500 RPD shared with Flash-Lite,Account-specific RPM/TPM/RPD shown in AI Studio,https://generativelanguage.googleapis.com,/v1beta/models/gemini-2.5-flash:generateContent,Google REST,x-goog-api-key,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/pricing,2026-06-27,Recurring free tier
Google Gemini API,gemini-2.5-flash-lite,text/image/video/audio to text,High-throughput classification; extraction; short generation,Free tokens; Search grounding up to 500 RPD shared with Flash,Account-specific RPM/TPM/RPD shown in AI Studio,https://generativelanguage.googleapis.com,/v1beta/models/gemini-2.5-flash-lite:generateContent,Google REST,x-goog-api-key,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/pricing,2026-06-27,Recurring free tier
Google Gemini API,gemini-embedding-001,text to vector,Semantic search; clustering; RAG retrieval,Free input tokens within account quota,Account-specific limits shown in AI Studio,https://generativelanguage.googleapis.com,/v1beta/models/gemini-embedding-001:embedContent,Google REST,x-goog-api-key,https://ai.google.dev/gemini-api/docs/embeddings,https://ai.google.dev/gemini-api/docs/pricing,2026-06-27,Text-only embeddings
Groq,groq/compound,text to text,Tool-using answers with built-in web and code,No charge within free-plan limits,30 RPM; 250 RPD; 70K TPM,https://api.groq.com/openai/v1,/chat/completions,OpenAI-compatible,Bearer GROQ_API_KEY,https://console.groq.com/docs/models,https://console.groq.com/docs/rate-limits,2026-06-27,Organization-scoped
Groq,groq/compound-mini,text to text,Fast tool-assisted QA and lightweight agents,No charge within free-plan limits,30 RPM; 250 RPD; 70K TPM,https://api.groq.com/openai/v1,/chat/completions,OpenAI-compatible,Bearer GROQ_API_KEY,https://console.groq.com/docs/models,https://console.groq.com/docs/rate-limits,2026-06-27,Organization-scoped
Groq,llama-3.1-8b-instant,text to text,Low-latency chat; extraction; routing,No charge within free-plan limits,30 RPM; 14400 RPD; 6K TPM; 500K TPD,https://api.groq.com/openai/v1,/chat/completions,OpenAI-compatible,Bearer GROQ_API_KEY,https://console.groq.com/docs/models,https://console.groq.com/docs/rate-limits,2026-06-27,Organization-scoped
Groq,llama-3.3-70b-versatile,text to text,General reasoning; multilingual generation; tools,No charge within free-plan limits,30 RPM; 1000 RPD; 12K TPM; 100K TPD,https://api.groq.com/openai/v1,/chat/completions,OpenAI-compatible,Bearer GROQ_API_KEY,https://console.groq.com/docs/models,https://console.groq.com/docs/rate-limits,2026-06-27,Organization-scoped
Groq,meta-llama/llama-4-scout-17b-16e-instruct,text/image to text,Multimodal understanding; long context,No charge within free-plan limits,30 RPM; 1000 RPD; 30K TPM; 500K TPD,https://api.groq.com/openai/v1,/chat/completions,OpenAI-compatible,Bearer GROQ_API_KEY,https://console.groq.com/docs/models,https://console.groq.com/docs/rate-limits,2026-06-27,Organization-scoped
